dcorr,mgc,hsic,n,flip,dataset
0.049,0.021,0.015,20,median,equal
0.693,0.696,0.578,20,median,equal
0.296,0.292,0.175,20,median,equal
0.711,0.717,0.623,20,median,equal
0.028,0.005,0.006,20,median,equal
0.815,0.847,0.715,20,median,equal
0.016,0.005,0.004,20,median,equal
0.864,0.883,0.943,20,median,equal
0.997,0.994,0.943,20,median,equal
0.409,0.412,0.211,20,median,equal
0.007,0.001,0.001,20,median,equal
0.287,0.306,0.137,20,median,equal
0.76,0.746,0.646,20,median,equal
0.999,0.999,1.0,20,median,equal
0.855,0.832,0.929,20,median,equal
0.789,0.795,0.755,20,median,equal
0.76,0.741,0.633,20,median,equal
0.71,0.712,0.836,20,median,equal
0.821,0.818,0.739,20,median,equal
0.694,0.71,0.567,20,median,equal
0.436,0.459,0.408,20,median,equal
0.414,0.405,0.366,20,median,equal
0.031,0.043,0.024,20,median,equal
0.91,0.899,0.906,20,median,equal
0.099,0.024,0.048,20,median,equal
0.231,0.249,0.219,20,median,equal
0.812,0.815,0.713,20,median,equal
0.998,0.999,0.994,20,median,equal
0.224,0.228,0.267,20,median,equal
0.118,0.143,0.127,20,median,equal
0.423,0.479,0.261,20,median,equal
0.347,0.335,0.479,20,median,equal
0.333,0.338,0.375,20,median,equal
0.224,0.23,0.197,20,median,equal
0.183,0.206,0.147,20,median,equal
0.873,0.865,0.832,20,median,equal
0.26,0.244,0.201,20,median,equal
0.49,0.496,0.487,20,median,equal
0.488,0.454,0.643,20,median,equal
0.919,0.909,0.86,20,median,equal
0.886,0.903,0.935,20,median,equal
0.917,0.931,0.912,20,median,equal
0.883,0.886,0.912,20,median,equal
0.042,0.02,0.016,20,median,equal
0.22,0.215,0.273,20,median,equal
0.711,0.691,0.488,20,median,equal
0.557,0.541,0.405,20,median,equal
0.649,0.635,0.63,20,median,equal
0.716,0.706,0.681,20,median,equal
0.573,0.568,0.864,20,median,equal
0.143,0.139,0.209,20,median,equal
0.264,0.259,0.322,20,median,equal
0.733,0.747,0.504,20,median,equal
0.852,0.84,0.867,20,median,equal
0.058,0.065,0.059,20,median,equal
0.176,0.154,0.086,20,median,equal
0.521,0.503,0.416,20,median,equal
0.181,0.217,0.168,20,median,equal
0.538,0.502,0.343,20,median,equal
0.779,0.778,0.824,20,median,equal
0.35,0.384,0.243,20,median,equal
0.875,0.874,0.871,20,median,equal
0.928,0.921,0.972,20,median,equal
0.868,0.872,0.777,20,median,equal
0.274,0.262,0.254,20,median,equal
0.399,0.404,0.365,20,median,equal
0.167,0.204,0.305,20,median,equal
0.59,0.59,0.561,20,median,equal
0.748,0.742,0.728,20,median,equal
0.663,0.642,0.76,20,median,equal
0.47,0.461,0.422,20,median,equal
0.227,0.247,0.284,20,median,equal
0.48,0.497,0.523,20,median,equal
0.622,0.649,0.683,20,median,equal
0.307,0.288,0.341,20,median,equal
0.858,0.872,0.757,20,median,equal
0.896,0.863,0.899,20,median,equal
0.908,0.894,0.946,20,median,equal
0.57,0.589,0.5,20,median,equal
0.699,0.688,0.646,20,median,equal
0.508,0.524,0.532,20,median,equal
0.58,0.585,0.643,20,median,equal
0.455,0.426,0.454,20,median,equal
0.155,0.153,0.167,20,median,equal
0.512,0.526,0.538,20,median,equal
0.6,0.64,0.559,20,median,equal
0.742,0.74,0.692,20,median,equal
0.897,0.877,0.861,20,median,equal
0.587,0.568,0.745,20,median,equal
0.68,0.65,0.596,20,median,equal
0.468,0.474,0.383,20,median,equal
0.406,0.423,0.261,20,median,equal
0.848,0.845,0.81,20,median,equal
0.226,0.212,0.094,20,median,equal
0.837,0.825,0.755,20,median,equal
0.696,0.652,0.682,20,median,equal
0.687,0.694,0.894,20,median,equal
0.7,0.702,0.841,20,median,equal
0.627,0.672,0.7,20,median,equal
0.682,0.697,0.528,20,median,equal
0.933,0.93,0.798,20,median,equal
0.235,0.215,0.388,20,median,equal
0.271,0.248,0.233,20,median,equal
0.637,0.627,0.496,20,median,equal
0.036,0.023,0.012,20,median,equal
0.119,0.024,0.052,20,median,equal
0.306,0.313,0.414,20,median,equal
0.353,0.364,0.302,20,median,equal
0.381,0.42,0.438,20,median,equal
0.915,0.95,0.88,20,median,equal
0.274,0.252,0.22,20,median,equal
